row,type,position,sl,date,balance
717,NO,0.0,0.0,2021-02-27 06:00:00,0.0
718,NO,0.0,0.0,2021-02-27 05:00:00,0.0
719,NO,0.0,0.0,2021-02-27 06:00:00,0.0
720,NO,0.0,0.0,2021-02-27 07:00:00,0.0
721,NO,0.0,0.0,2021-02-27 08:00:00,0.0
722,NO,0.0,0.0,2021-02-27 09:00:00,0.0
723,NO,0.0,0.0,2021-02-27 10:00:00,0.0
724,NO,0.0,0.0,2021-02-27 11:00:00,0.0
725,NO,0.0,0.0,2021-02-27 12:00:00,0.0
726,NO,0.0,0.0,2021-02-27 13:00:00,0.0
727,NO,0.0,0.0,2021-02-27 14:00:00,0.0
728,NO,0.0,0.0,2021-02-27 15:00:00,0.0
729,NO,0.0,0.0,2021-02-27 16:00:00,0.0
730,NO,0.0,0.0,2021-02-27 17:00:00,0.0
731,NO,0.0,0.0,2021-02-27 18:00:00,0.0
732,NO,0.0,0.0,2021-02-27 19:00:00,0.0
733,NO,0.0,0.0,2021-02-27 20:00:00,0.0
734,NO,0.0,0.0,2021-02-27 21:00:00,0.0
735,NO,0.0,0.0,2021-02-27 22:00:00,0.0
736,NO,0.0,0.0,2021-02-27 23:00:00,0.0
737,NO,0.0,0.0,2021-02-28 00:00:00,0.0
738,NO,0.0,0.0,2021-02-28 01:00:00,0.0
739,NO,0.0,0.0,2021-02-28 02:00:00,0.0
740,NO,0.0,0.0,2021-02-28 03:00:00,0.0
741,SHORT,5.4755,5.4105,2021-02-28 04:00:00,1.201367710932459
744,NO,0.0,0.0,2021-02-28 07:00:00,0.0
745,NO,0.0,0.0,2021-02-28 08:00:00,0.0
746,NO,0.0,0.0,2021-02-28 09:00:00,0.0
747,NO,0.0,0.0,2021-02-28 10:00:00,0.0
748,NO,0.0,0.0,2021-02-28 11:00:00,0.0
749,NO,0.0,0.0,2021-02-28 12:00:00,0.0
750,SHORT,5.3417,5.1248,2021-02-28 13:00:00,4.2323602872307475
753,NO,0.0,0.0,2021-02-28 16:00:00,0.0
754,NO,0.0,0.0,2021-02-28 17:00:00,0.0
755,NO,0.0,0.0,2021-02-28 18:00:00,0.0
756,NO,0.0,0.0,2021-02-28 19:00:00,0.0
757,NO,0.0,0.0,2021-02-28 20:00:00,0.0
758,NO,0.0,0.0,2021-02-28 21:00:00,0.0
759,NO,0.0,0.0,2021-02-28 22:00:00,0.0
760,NO,0.0,0.0,2021-02-28 23:00:00,0.0
761,NO,0.0,0.0,2021-03-01 00:00:00,0.0
762,NO,0.0,0.0,2021-03-01 01:00:00,0.0
763,NO,0.0,0.0,2021-03-01 02:00:00,0.0
764,LONG,5.7256,5.8762,2021-03-01 03:00:00,2.5628807732888674
766,NO,0.0,0.0,2021-03-01 05:00:00,0.0
767,NO,0.0,0.0,2021-03-01 06:00:00,0.0
768,NO,0.0,0.0,2021-03-01 07:00:00,0.0
769,LONG,6.0986,6.2535,2021-03-01 08:00:00,2.477012872791235
781,NO,0.0,0.0,2021-03-01 20:00:00,0.0
782,NO,0.0,0.0,2021-03-01 21:00:00,0.0
783,LONG,6.602,6.74,2021-03-01 22:00:00,2.047477744807125
785,NO,0.0,0.0,2021-03-02 00:00:00,0.0
786,NO,0.0,0.0,2021-03-02 01:00:00,0.0
787,NO,0.0,0.0,2021-03-02 02:00:00,0.0
788,NO,0.0,0.0,2021-03-02 03:00:00,0.0
789,NO,0.0,0.0,2021-03-02 04:00:00,0.0
790,NO,0.0,0.0,2021-03-02 05:00:00,0.0
791,NO,0.0,0.0,2021-03-02 06:00:00,0.0
792,NO,0.0,0.0,2021-03-02 07:00:00,0.0
793,NO,0.0,0.0,2021-03-02 08:00:00,0.0
794,NO,0.0,0.0,2021-03-02 09:00:00,0.0
795,NO,0.0,0.0,2021-03-02 10:00:00,0.0
796,NO,0.0,0.0,2021-03-02 11:00:00,0.0
797,NO,0.0,0.0,2021-03-02 12:00:00,0.0
798,NO,0.0,0.0,2021-03-02 13:00:00,0.0
799,NO,0.0,0.0,2021-03-02 14:00:00,0.0
800,NO,0.0,0.0,2021-03-02 15:00:00,0.0
801,NO,0.0,0.0,2021-03-02 16:00:00,0.0
802,NO,0.0,0.0,2021-03-02 17:00:00,0.0
803,NO,0.0,0.0,2021-03-02 18:00:00,0.0
804,NO,0.0,0.0,2021-03-02 19:00:00,0.0
805,NO,0.0,0.0,2021-03-02 20:00:00,0.0
806,NO,0.0,0.0,2021-03-02 21:00:00,0.0
807,NO,0.0,0.0,2021-03-02 22:00:00,0.0
808,NO,0.0,0.0,2021-03-02 23:00:00,0.0
809,NO,0.0,0.0,2021-03-03 00:00:00,0.0
810,NO,0.0,0.0,2021-03-03 01:00:00,0.0
811,NO,0.0,0.0,2021-03-03 02:00:00,0.0
812,NO,0.0,0.0,2021-03-03 03:00:00,0.0
813,NO,0.0,0.0,2021-03-03 04:00:00,0.0
814,NO,0.0,0.0,2021-03-03 05:00:00,0.0
815,NO,0.0,0.0,2021-03-03 06:00:00,0.0
816,NO,0.0,0.0,2021-03-03 07:00:00,0.0
817,LONG,7.5455,7.8268,2021-03-03 08:00:00,3.5940614299586144
820,NO,0.0,0.0,2021-03-03 11:00:00,0.0
821,NO,0.0,0.0,2021-03-03 12:00:00,0.0
822,NO,0.0,0.0,2021-03-03 13:00:00,0.0
823,NO,0.0,0.0,2021-03-03 14:00:00,0.0
824,NO,0.0,0.0,2021-03-03 15:00:00,0.0
825,NO,0.0,0.0,2021-03-03 16:00:00,0.0
826,NO,0.0,0.0,2021-03-03 17:00:00,0.0
827,NO,0.0,0.0,2021-03-03 18:00:00,0.0
828,NO,0.0,0.0,2021-03-03 19:00:00,0.0
829,NO,0.0,0.0,2021-03-03 20:00:00,0.0
830,NO,0.0,0.0,2021-03-03 21:00:00,0.0
831,NO,0.0,0.0,2021-03-03 22:00:00,0.0
832,NO,0.0,0.0,2021-03-03 23:00:00,0.0
833,NO,0.0,0.0,2021-03-04 00:00:00,0.0
834,NO,0.0,0.0,2021-03-04 01:00:00,0.0
