date,open,high,low,close,volume,ema10,ema20,ema40,rsi8,rsi56,atrSA,atrD
2021-01-28 07:00:00,1.217,1.3579,0.9008,1.3321,1098224,1.332,1.332,1.332,,,,
2021-01-28 08:00:00,1.335,1.4449,1.3216,1.4026,2089921,1.345,1.339,1.336,,,,
2021-01-28 09:00:00,1.402,1.57,1.3921,1.5578,2774408,1.384,1.36,1.346,,,,
2021-01-28 10:00:00,1.552,1.57,1.455,1.4739,898716,1.4,1.371,1.353,,,,
2021-01-28 11:00:00,1.4739,1.555,1.4582,1.4913,776259,1.417,1.382,1.359,,,,
2021-01-28 12:00:00,1.4935,1.534,1.45,1.4664,520151,1.426,1.39,1.365,,,,
2021-01-28 13:00:00,1.4674,1.5255,1.4502,1.481,528560,1.436,1.399,1.37,,,,
2021-01-28 14:00:00,1.4818,1.51,1.4564,1.4898,393695,1.446,1.407,1.376,,,,
2021-01-28 15:00:00,1.4901,1.5083,1.4442,1.4598,464190,1.448,1.412,1.38,65.754,,,
2021-01-28 16:00:00,1.46,1.4719,1.4197,1.444,383196,1.447,1.415,1.383,62.949,,,
2021-01-28 17:00:00,1.444,1.4902,1.4359,1.4563,269742,1.449,1.419,1.387,64.304,,,
2021-01-28 18:00:00,1.4578,1.4845,1.444,1.4841,206082,1.455,1.425,1.392,67.384,,,
2021-01-28 19:00:00,1.4845,1.5538,1.4626,1.5385,383972,1.471,1.436,1.399,72.66,,,
2021-01-28 20:00:00,1.538,1.57,1.4411,1.4561,754060,1.468,1.438,1.402,56.765,,,1.463
2021-01-28 21:00:00,1.4555,1.48,1.4484,1.473,212804,1.469,1.441,1.405,58.874,,0.079,1.462
2021-01-28 22:00:00,1.4729,1.5169,1.4521,1.4585,301941,1.467,1.443,1.408,56.186,,0.077,1.463
2021-01-28 23:00:00,1.4599,1.5006,1.4202,1.4452,313752,1.463,1.443,1.409,53.621,,0.078,1.463
2021-01-29 00:00:00,1.4452,1.5056,1.4265,1.4547,270322,1.461,1.444,1.412,55.287,,0.078,1.461
2021-01-29 01:00:00,1.454,1.5795,1.4362,1.5472,309180,1.477,1.454,1.418,68.06,,0.084,1.46
2021-01-29 02:00:00,1.5471,1.6535,1.51,1.5674,899787,1.493,1.465,1.426,70.186,,0.09,1.468
2021-01-29 03:00:00,1.5697,1.6122,1.4126,1.51,746304,1.496,1.469,1.43,57.713,,0.1,1.478
2021-01-29 04:00:00,1.5096,1.577,1.397,1.5486,641462,1.506,1.477,1.435,62.794,,0.107,1.48
2021-01-29 05:00:00,1.5486,1.617,1.5119,1.592,376309,1.522,1.488,1.443,67.771,,0.107,1.486
2021-01-29 06:00:00,1.592,1.7458,1.57,1.6198,751521,1.539,1.5,1.452,70.645,,0.113,1.495
